File Name,Extension,Size (KB),Last Modified,Relative Path,Full Path
package-lock.json,.json,51.38,1750378238.5010958,package-lock.json,/home/slyslickmojo/Slick_AI/package-lock.json
train_all_update.sh,.sh,0.26,1750354278.0822568,train_all_update.sh,/home/slyslickmojo/Slick_AI/train_all_update.sh
git_push.sh,.sh,0.08,1750321773.0840943,git_push.sh,/home/slyslickmojo/Slick_AI/git_push.sh
test_engine.py,.py,0.62,1750285529.2385352,test_engine.py,/home/slyslickmojo/Slick_AI/test_engine.py
control_workflow.sh,.sh,1.18,1750351956.0223432,control_workflow.sh,/home/slyslickmojo/Slick_AI/control_workflow.sh
.gitignore,,0.3,1750382242.6046941,.gitignore,/home/slyslickmojo/Slick_AI/.gitignore
install_slick_ai.sh,.sh,5.02,1750275353.7702641,install_slick_ai.sh,/home/slyslickmojo/Slick_AI/install_slick_ai.sh
package.json,.json,0.97,1750378237.841096,package.json,/home/slyslickmojo/Slick_AI/package.json
main.py,.py,6.25,1750492476.0653675,main.py,/home/slyslickmojo/Slick_AI/main.py
vite.config.js,.js,0.16,1750378355.551084,vite.config.js,/home/slyslickmojo/Slick_AI/vite.config.js
file_structure.csv,.csv,1.65,1750309813.6498954,file_structure.csv,/home/slyslickmojo/Slick_AI/file_structure.csv
knowledge_base.py,.py,0.02,1750284702.0,knowledge_base.py,/home/slyslickmojo/Slick_AI/knowledge_base.py
launch.json,.json,0.29,1750490914.8794496,launch.json,/home/slyslickmojo/Slick_AI/launch.json
test_websocket.py,.py,0.41,1750294055.5165832,test_websocket.py,/home/slyslickmojo/Slick_AI/test_websocket.py
README.md,.md,0.5,1750321761.854084,README.md,/home/slyslickmojo/Slick_AI/README.md
EOL,,0.0,1750278505.4919758,EOL,/home/slyslickmojo/Slick_AI/EOL
slick.py,.py,0.1,1750268088.8932521,slick.py,/home/slyslickmojo/Slick_AI/slick.py
test_enhanced_engine.py,.py,0.76,1750293631.5048969,test_enhanced_engine.py,/home/slyslickmojo/Slick_AI/test_enhanced_engine.py
