type,name,path,relative_path,size,modified,extension
directory,cli,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli,.,,2025-06-14T05:46:56.907870,
file,=1.0flask,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/=1.0flask,=1.0flask,0,2025-06-13T22:51:27.345609,.0flask
file,=2.3threadingasyncio,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/=2.3threadingasyncio,=2.3threadingasyncio,0,2025-06-13T22:51:27.417671,.3threadingasyncio
directory,backup,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/backup,backup,,2025-06-13T21:17:35.779715,
directory,commands,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/commands,commands,,2025-06-14T04:07:14.932336,
file,correct_input.py,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/correct_input.py,correct_input.py,772,2025-06-14T04:07:14.955866,.py
directory,C:,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:,C:,,2025-06-14T00:52:11.184895,
directory,C:\Users\slick\OneDrive\Desktop\slick_ai_system\backup,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup,C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup,,2025-06-14T01:32:07.421755,
file,C:\Users\slick\OneDrive\Desktop\slick_ai_system\backup_report.json,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup_report.json,C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup_report.json,7554,2025-06-14T00:40:39.610410,.json
file,C:\Users\slick\OneDrive\Desktop\slick_ai_system\logs\backup_log.txt,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli/C:/Users/slick/OneDrive/Desktop/slick_ai_system/logs/backup_log.txt,C:/Users/slick/OneDrive/Desktop/slick_ai_system/logs/backup_log.txt,8550,2025-06-14T01:22:52.970925,.txt
