Path,Entry_Type,Size_KB,Type,Suggested_Location
.,Directory,0,Directory,-
deploy_tools.py,File,0.27,Python Code,Uncategorized
glossary_sync.py,File,0.78,Python Code,Uncategorized
learn_mode.py,File,0.77,Python Code,Uncategorized
order_manager.py,File,1.44,Python Code,Uncategorized
plain_knowledge.py,File,3.73,Python Code,Uncategorized
project_report_20250612_153717.csv,File,0.62,Data File,data/
report_project.py,File,2.86,Python Code,Uncategorized
see_monitor.py,File,1.47,Python Code,Uncategorized
slick_cli.py,File,2.0,Python Code,cli/
step_trainer.py,File,2.17,Python Code,Uncategorized
tools.py,File,0.34,Python Code,Uncategorized
__init__,File,0.44,Other,Uncategorized
C:,Directory,0,Directory,-
C:/Users,Directory,0,Directory,-
C:/Users/slick,Directory,0,Directory,-
C:/Users/slick/OneDrive,Directory,0,Directory,-
C:/Users/slick/OneDrive/Desktop,Directory,0,Directory,-
C:/Users/slick/OneDrive/Desktop/slick_ai_system,Directory,0,Directory,-
C:/Users/slick/OneDrive/Desktop/slick_ai_system/backup,Directory,0,Directory,-
