Path,Relative Path,Type,Component,Optimization,Size,Created,Modified,Owner,Permissions,Security Issues,File Type,LOC,Imports Count,Functions Count,Classes Count
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/ai_core,ai_core,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/app,app,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/backend,backend,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli,cli,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cognitive,cognitive,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/config,config,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/core,core,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/data,data,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/deployment,deployment,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/docs,docs,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/engine,engine,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/interface,interface,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/knowledge,knowledge,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/memory,memory,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/mic_input,mic_input,Directory,Directory Structure,Review Structure,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A
