Type,Path,Relative Path,Size,Created,Modified
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.env,.env,512,2025-06-13T19:31:56.193020,2025-06-13T19:31:56.193020
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv,.venv,,2025-06-13T15:35:13.203529,2025-06-11T18:10:45.360562
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/ai_core,ai_core,,2025-06-13T19:23:11.403370,2025-06-13T19:23:11.403370
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/app,app,,2025-06-13T15:35:17.735699,2025-06-12T21:54:47.051462
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/backend,backend,,2025-06-13T15:35:17.863121,2025-06-12T21:51:59.240389
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cli,cli,,2025-06-13T22:20:32.878020,2025-06-13T22:20:32.878020
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/cognitive,cognitive,,2025-06-13T15:35:18.213672,2025-06-12T02:10:44.053272
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/config,config,,2025-06-13T15:35:18.234558,2025-06-13T00:30:57.600624
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/core,core,,2025-06-13T15:35:18.264173,2025-06-13T00:32:42.656041
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/data,data,,2025-06-13T15:35:18.430144,2025-06-12T18:57:01.483720
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/deepseek_integration.py,deepseek_integration.py,1666,2025-06-13T15:35:18.478270,2025-06-12T00:48:21.596773
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/deployment,deployment,,2025-06-13T16:35:36.785983,2025-06-13T16:35:36.785983
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/docs,docs,,2025-06-13T15:35:18.485595,2025-06-13T12:04:58.140091
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/engine,engine,,2025-06-13T15:35:18.511433,2025-06-12T02:12:27.687472
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/fix_imports.py,fix_imports.py,616,2025-06-13T15:35:18.537393,2025-06-13T00:54:38.177896
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/index.html,index.html,13100,2025-06-13T15:35:18.542392,2025-06-12T05:55:29.388624
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/interface,interface,,2025-06-13T15:35:18.546394,2025-06-12T21:54:47.632999
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/knowledge,knowledge,,2025-06-13T17:25:01.314837,2025-06-13T17:25:01.314837
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/memory,memory,,2025-06-13T15:35:18.619838,2025-06-13T11:47:26.103464
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/memupdate.py,memupdate.py,864,2025-06-13T15:35:18.716211,2025-06-02T20:02:00.490557
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/mic_input,mic_input,,2025-06-13T15:35:18.720384,2025-06-12T04:04:36.341182
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/modules,modules,,2025-06-13T15:35:18.730113,2025-06-12T21:54:47.725353
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/noise_filter.py,noise_filter.py,502,2025-06-13T15:35:18.779947,2025-06-12T14:26:56.524757
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/package.json,package.json,318,2025-06-13T15:35:18.785956,2025-06-02T14:04:13.707094
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/programming_analyzer.py,programming_analyzer.py,2801,2025-06-13T15:35:18.788954,2025-06-12T00:40:16.308828
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/project_structure.csv,project_structure.csv,28249,2025-06-13T15:35:18.793086,2025-06-11T20:09:49.988006
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/README.md,README.md,5649,2025-06-13T15:35:18.795087,2025-06-13T12:49:32.437459
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/reorganize_slick.sh,reorganize_slick.sh,1097,2025-06-13T15:44:32.848891,2025-06-13T15:44:18.004341
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/requirements.txt,requirements.txt,1495,2025-06-13T15:35:18.807082,2025-06-13T13:48:43.557464
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/run_tests.py,run_tests.py,2819,2025-06-13T15:35:18.810086,2025-06-13T13:23:28.415596
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/scripts,scripts,,2025-06-13T15:35:18.815085,2025-06-13T01:21:04.723563
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/setup.py,setup.py,260,2025-06-13T15:35:18.864117,2025-06-02T20:10:33.765729
